have	have sb over/round/to stay, etc.	VERB; PHRASE	If you have someone over/round, etc. you arrange for someone to visit you in your home.
have	have nothing to do with sb/sth	VERB; PHRASE	to have no connection or influence with someone or something
have	have nothing to do with sb	VERB; PHRASE	If something is or has nothing to do with you, you have no good reason to know about it or be involved with it.
have	have sth against sb/sth	VERB; PHRASE	to have a reason not to like someone or something
heart	take sth to heart	NOUN; PHRASE	If you take criticism or advice to heart, you think about it seriously, often because it upsets you
heart	a change of heart	NOUN; PHRASE	If you have a change of heart, you change your opinion or feelings about something.
heart	dear to sb/sb's heart	NOUN; PHRASE	If something is dear to someone or dear to their heart, it is very important to them.
heel		NOUN	the part of a shoe that is under your heel
heroic		ADJECTIVE	If someone makes a heroic effort to do something, they work very hard to try to do it.
hidden		ADJECTIVE	A hidden thing or place is not easy to find.
hidden		ADJECTIVE	If something is hidden, most people do not know about it.
high	high in sth	ADJECTIVE; PHRASE	If a food is high in something, it contains a lot of it.
high		ADJECTIVE	If someone is high, they are behaving in an unusual way because they have taken an illegal drug.
